quize,answer,meaning
수어,지교,물을 만난 물고기처럼 지냄을 뜻하며 특별한 친분을 의미야
일취,월장,학업이 날이 가고 달이 갈수록 진보하는걸 말해
가가,호호,집집마다를 의미해
갑남,을녀,보통사람들을 의미해
결초,보은,죽어서라도 은혜를 갚는걸 말해
경국,지색,나라의 운명을 위태롭게 할 만한 절세의 미인을 말해
고량,진미,맛있는 음식을 의미해
고진,감래,괴로움이 다하면 즐거움이는걸 말해
과유,불급,정도를 지나치면 미치지 못한 것과 같은것을 말해
관포,지교,깊은 우정을 말해
군계,일학,평범한 사람 가운데서 뛰어난 사람을 이르는 말이야
금의,환양,출세하여 고향에 돌아는것을 말해
금지,옥엽,손을 소중이 여겨 일컽는 말이야
난형,난제,형인지 아우인지 분간하기어려운걸 말해
내유,외강,속 마음은 약한데도 겉으로는 강하게 나타나는것을 의미해
노심,초사,애를 써 속을 태우는걸 말해
단도,직입,요점을 바로 말하며 들어가는것을 말해
동문,서답,묻는 말과는 다른 딴 소리를 하는것을 말해
동상,이몽,같은 처지에 있는 듯 하면서도 생각이 다른걸 말해
막역,지우,거역할수 없는 친한 벗을 의미해
맥수,지탄,고국의 멸망을 한탄하는것을 말해
무릉,도원,속세를 떠난 별천지를 말해
문방,사우,종이 붓 먹 벼루를 함께하는 필방을 말해
배은,망덕,은혜를 저버리는것을 말해
백년,해로,부부가 화합하여 함께 늙도록 살아가는걸 말해
새옹,지마,세상일은 복이 될지 화가 될지 알수없는걸 말해
속수,무책,방법이 없는걸 말해
시시,비비,옳고 그름을 가리는것을 말해
십시 ,일반,여러 사람이 한 사람 구하기는 쉬운걸 말해
안빈,낙도,가난함에도 편한 마음으로 도를 즐기는걸 말해
역지,사지,처지을 바꾸어 생각하는걸 말해
오리,무중,도무지 알수가 없는걸 말해
오매,불망,늘 잊지 못하는걸 의미해
온고,지신,옛것을 익히여 새로운 것을 배우는걸 말해
와신,상담,원수을 갚기위하여 고생을 참고견디는걸 말해
요지,부동,흔들어도 꼼짝하지않는걸 말해
유유,상종,끼리끼리 사귀는걸 말해
이실,직고,사실대로 말하는걸 말해
이심,전심,말을하지않더라도 서로 통한는걸 말해
사면,초가,사방이 적에게 휩싸워 꼼짝달싹 할 수 없는 처지를 의미해
사상,누각,기초가 튼튼치 못하여 오래가지 못하는걸 말해
사필,귀정,무슨일이든 결국 옳은 이치대로 돌아감
수구,초심,고향을 그리는 마음
상전,벽해,세상일이 덧 없이 바뀜
순망,치한,가까운 사람이 망하면 다른 사람도 영향을 받음
신출,귀물,유 자재로 출몰하여 그 변화를 헤아릴 수 없음
아전,인수,자기만을 이롭게 함 
일필,휘지,한숨에 글씨나 글을 씀
절차,탁마,학문과 기술을 닦음
지호,지간,부르면 곧 대답할수있는 가까운 거리
진퇴,유곡,가지도 오지도 못할 곤경에 빠짐
천재,일우,다시 얻기 어려운 좋은 기회
청출,어람,제자가 스승보다 낫다
촌철,살인,"짧은 말로 어떤일의 급소을 강타, 사람을 크게 감동시킴"
타산,지석,타인의 하찮은 언행일지라도 자기의 도를 닦는데 도움이됨
탁상,공론,실현성이 없는일
풍전,등화,바람 앞의 등불
등하,불명,가까이 있는 것을 모름
금석,위개,쇠와 돌을 열리게 한다.
중석,몰촐,돌에 박힌 화살촉
여조,삭비,새가 히늘을 날기 위해 자주 날개 짓 하는 것과 같다.
강유,겸전,굳세고 부드러운 성품을 겸하여 갖춤
강고,무비,비교할 수 없을 정도로 굳세고 튼튼함
