quize,answer,meaning
갈수록,태산,일이 점점 커진다.
낫 놓고,기억자 모른다,바로 눈앞에 정답이 있는데도 알아보지 못하는 무지함을 뜻한다.
누워서,침뱉기,자기 스스로를 욕되게 하는 뜻
도둑이,제발 저린다.,도둑이 괜한 근심으로 걱정하거나 실수한다는 말
등잔 밑이, 어둡다.,어떤 사건이나 문제가 있을 때 가장 가까운 사람이 범인이거나 원인이 있음을 뜻한다.
마른 하늘에,날벼락,갑작스럽게 어떤 일이 닥침(예견하지 못한 일 발생
사공이 많으면,배가 산으로 간다,결정권자가 많으면 제 뜻대로 일이 성사되지 않는다.
원수는 ,외나무 다리에서 만난다,내가 싫어하는 사람은 언젠가 만날 일이 꼭 온다는 뜻
은혜를,원수로 갚는다,감사에 대한 보답을 해로 끼친다는 뜻
우물 안,개구리,넓은 시야를 보지 못하고 자신이 최고인줄 착각하는 사람들을 지칭하는 말
식은 죽 ,먹기,매우 쉬운일을 뜻한다.
불난 집에,부채질 한다,남의 화를 더욱더 돋군다는 뜻
병 주고 ,약 준다,손해와 이득일 번갈아 가면서 준다는 뜻
백지장도 ,맛들면 낫다,아무리 쉬운일이라도 함께하면 더욱 좋다는 뜻
바늘 도둑이 ,소 도둑이 된다,작은걸 훔치던 사람은 나중에 큰 것을 훔치게 된다.
믿는 도끼에,발등 찍힌다,믿었던 존재에게 배신을 당한다는 뜻
똥 묻은 개가 ,겨 묻은 개 나무란다,자신의 큰 흉에 대한 생각은 안하고 남의 실수에 대한 흉을 본다는 뜻
고래 싸움에,새우 등 터진다,윗 사람들 싸움에 아랫사람들이 피해를 본다는 뜻
가재는,게 편,"모양이나 형편이 서로 비슷하고 인연이 있는 것끼리 서로 잘 어울리고, 사정을 보아주며 감싸 주기 쉬움을 뜻한다"
게란으로 ,바위치기,대항해도 도저히 이길 수 없는 경우를 비유적으로 이르는 말
고생끝에,낙이 온다,어려운 일이나 고된 일을 겪은 뒤에는 반드시 즐겁고 좋은 일이 생긴다는 말
공든 탑이,무너지랴,공들여 쌓은 탑은 무너질 리 없다는 뜻으로 힘을 다하고 정성을 다하여 한 일은 그 결과가 반드시 헛되지 아니함을 비유적으로 이르는 말
구슬이 서말이라도,꿰어야 보배다,아무리 훌륭하고 좋은 것이라도 다듬고 정리하여 쓸모 있게 만들어 놓아야 값어치가 있음을 비유적으로 이르는 말
까마귀 날자,배 떨어진다,아무 관계없이 한 일이 공교롭게도 때가 같아 어떤 관계가 있는 것처럼 의심을 받게 됨을 비유적으로 이르는 말
꿩 대신,닭,한 가지 일을 하여 두가지 이상의 이익을 보게 됨을 비유적으로 이르는 말
낮말은 새가 듣고,밤말은 쥐가 듣는다,아무도 안 듣는데서라도 말 조심해야한다는 말
땅 짚고,헤엄치기,일이 매우 쉽다는 말
뛰는 놈 위에,나는 놈 있다,아무리 재주가 뛰어나다 하더라도 그보다 더 뛰어난 사람이 있다는 뜻으로 스스로 뽐내는 사람을 경계하여 이르는 말
방귀 뀐 놈이,성낸다,자기가 방귀를 뀌고 오히려 남보고 성낸다는 뜻으로 잘못을 저지른 쪽에서 오히려 남에게 성냄을 비꼬는 말
배보다,배꼽이 더 크다,발보다 거기에 붙은 발가락이 더 크다는 뜻으로 기본이 되는 것보다 덧붙이는 것이 더 많거나 큰 경우를 비유적으로 이르는 말
보기 좋은 떡이,먹기도 좋다,내용이 좋으면 겉모양도 반반함을 비유적으로 이르는 말
서당 개 삼년이면,풍월을 읊는다,서당에서 삼 년동안 살면서 매일 글 읽는 소리를 듣다 보면 개조찯 글 읽는 소리를 내게 된다는 뜻으로 어떤 분야에 대하여 지식과 경험이 전혀 없는 사람이라도 그 부문에 오래있으면 얼마간의 지식과 경험을 갖게 된다는 것을 비유적으로 이르는 말
소 잃고,외양간 고친다,소를 도둑맞은 다음에야 빈 외양간의 허물어진 데를 고치느라 수선을 떤다는 뜻으로 일이 이미 잘못된 뒤에는 손을 써도 소용이 없음을 비꼬는 말
아니 땐 굴뚝에,연기 날까,원인이 없으면 결과가 있을 수 없음을 비유적으로 이르는 말
울며,겨자 먹기,맵다고 울면서도 겨자를 먹는다는 뜻으로 싫은 일이 억지로 마지못하여 함을 비유적으로 이르는 말
지렁이도,밟으면 꿈틀한다,"아무리 눌려 지내는 미천한 사람이나, 순하고 좋은 사람이라도 너무 업신여기면 가만있지 아니한다는 말"
티끌모아,태산,아무리 작은 것이라도 모이고 모이면 나중에는 큰 덩어리가 됨을 비유적으로 이르는 말
하늘이 무너져도 ,솟아날 구멍은 있다,아무리 어려운 경우에 처하더라고 살아 나갈 방도가 생긴다는 말
호랑이도,제말하면 온다,"깊은 산에 있는 호랑이조차도 저에 대하여 이야기하면 찾아온다는 뜻으로, 어느 곳에서나 그 자리에 없다고 남을 흉보아서는 안된다는 말"
호랑이에게 물려도,정신만 차리면 산다,아무리 위급한 경우를 당하더라고 정신만 똑똑히 차리면 위기를 벗어날 수가 있다.
고양이한테,생선을 맡겼다,믿을 수 없는 대상에게 일을 맡겼을 때를 뜻한다.
닭 잡아먹고,오리발 내민다,타인이 벌인 일을 덮으려고 누군가에게 뒤집어 씌우거나 남을 속이려 드는 것
벱새가 황새 따라가면,다리가 찢어진다,"자기 능력의 이상 일을 무리하게 한다면 큰 해를 본다는 뜻
  자기가 감당할 수 없는 욕심이 커지면 결국 무너진다는 뜻"
쇠뿔도 ,담김에 뺀다,일을 속전속결로 처리한다는 뜻
십년이면,강산도 변한다,세월이 지나면 모든 것이 다 변한다는 뜻
어물전 망신은,꼴뚜기가 시킨다,어떤 한 그룹의 한 사람의 행태가 전체를 망신준다는 뜻
오르지 못할 나무는 ,쳐다보지도 마라,될 수 없는 일은 애초에 기대도 하지 말하는 뜻
싼게,비지 떡,싼건 다 이유가 있다는 뜻
빈수레가,더 요란하다,애매하거나 무식한 사람일수록 더 유식한 척을 하고 다닌다는 뜻
벼룩의 간을,빼먹는다,극히 적은 이익도 악착같이 뜯어간다는 뜻/ 가진 것 없는 사람의 것도 빼앗아가는 나쁜 사람을 지칭하는 말
벼는 익을수록,고개를 숙인다,지식과 배움이 많은사람일수록 겸손해진다는 뜻
밥 먹을때는 ,개도 안 때린다,아무리 잘못된 일이 있어도 음식을 먹을땐 건들지 말라는 뜻
목마른 놈이,우물판다,어떤 일이 생겼을 때 가장 급한 사람이 그 일을 처리한다.
닭 쫓던 개,지붕 쳐다본다,애써 실행한 일이 허사가 되거나 어쩔도리가 없을 때 쓰는 말
늦게 배운 도둑질 ,날 새는줄 모른다,나중에 든 재미나 중독성이 시간 가는줄 모를 정도로 이끌린다는 뜻
가지 많은 나무에,바람 잘 날이 없다,"자식을 많이 둔 어버이에게는 근심,"
같은 값이면,다홍치마,값이 같거나 같은 노력을 한다면 품질이 좋은 것을 택한다는 뜻
개구리 ,올챙이적 생각 못한다,형편이나 사정이 전에 비하여 나아진 사람이 지난날의 미천하거나 어렵던 때의 일을 생각지 아니하고 처음부터 잘난 듯이 뽐냄을 비유적으로 이르는 말
남의 잔치에,감 놓아라 배 놓아라 한다,남의 일에 공연히 간섭하고 나섬을 비유적으로 이르는 말
내 코가 ,석자,내 사정이 급하고 어려워서 남을 돌볼 여유가 없음을 비유적으로 이르는 말
달면 삼키고,쓰면 뱉는다,옳고 그름이나 신의를 돌보지 않고 자기의 이익만 꾀함을 비유적으로 이르는말
되로 주고,말로 받는다,조금 주고 그 대가로 몇 곱절이나 많이 받는 경우를 비유적으로 이르는 말
